ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"544.13387"	"5.0e+05"	E	"4.31247059"	"6.59039805"	11	9		
"544.68723"	"2.50e+04"	B+	"1.60789577"	"3.88350907"	5	7		
"544.69162"	"5.48e+05"	B+	"0.99011115"	"3.26570610"	5	5		
"545.56089"	"6.05e+05"	B+	"1.01105568"	"3.28302483"	3	3		
"546.15490"	"4.2e+05"	E	"4.44562726"	"6.71512541"	5	7		
"546.32750"	"2.9e+07"	D+	"4.43461275"	"6.70339390"	9	9		
"546.42796"	"1.77e+06"	D+	"4.14264893"	"6.41101300"	7	5		
"546.69869"	"1.45e+05"	D+	"3.57321890"	"5.84045966"	11	9		
"547.00922"	"1.2e+06"	E	"4.44562726"	"6.71158094"	5	3		
"547.27085"	"2.37e+06"	B	"4.20888328"	"6.47375371"	5	3		
"547.31624"	"3.5e+05"	E	"4.19086081"	"6.45554341"	5	5		
"547.39005"	"5.2e+06"	D	"4.15435379"	"6.41873101"	7	7		
"547.62888"	"2.87e+06"	B	"4.14264893"	"6.40603863"	7	9		
"547.65642"	"8.70e+06"	B	"4.10337372"	"6.36664959"	9	9		
"547.84550"	"6.8e+05"	E	"4.19086081"	"6.45335558"	5	5		
"548.08602"	"1.3e+07"	D	"4.21758325"	"6.47908516"	3	1		
"548.12427"	"1.41e+06"	C+	"4.10337372"	"6.36471779"	9	9		
"548.14381"	"2.8e+06"	E	"4.19086081"	"6.45212430"	5	3		
"548.30985"	"1.74e+06"	C+	"4.15435379"	"6.41493251"	7	5		
"548.71454"	"9.9e+05"	E	"4.41527878"	"6.67419029"	7	7		
"548.77379"	"2.49e+05"	C	"2.17594512"	"4.43461275"	7	9		
"549.18342"	"2.05e+05"	C+	"4.18636440"	"6.44334733"	5	7		
"549.33216"	"1.55e+06"	C+	"3.63977237"	"5.89614419"	5	3		
"549.34988"	"5.0e+05"	E	"4.10337372"	"6.35967275"	9	7		
"549.44629"	"1.8e+05"	E	"4.07581091"	"6.33171407"	9	11		
"549.75158"	"6.25e+04"	A	"1.01105568"	"3.26570610"	3	5		
"550.14647"	"2.20e+04"	B	"0.95815732"	"3.21118938"	7	9		
"550.67785"	"5.01e+04"	A	"0.99011115"	"3.24096914"	5	7		
"551.22576"	"9.9e+05"	E	"4.37135106"	"6.61997175"	9	9		
"551.70680"	"2.0e+05"	E	"4.20888328"	"6.45554341"	5	5		
"552.24459"	"1.3e+06"	D	"4.20888328"	"6.45335558"	5	5		
"552.55434"	"6.00e+06"	B	"4.23053960"	"6.47375371"	1	3		
"552.91608"	"5.1e+04"	E	"3.64164057"	"5.88338708"	7	9		
"553.19805"	"6.1e+05"	E	"4.91297355"	"7.15357742"	9	9		
"553.27462"	"1.9e+05"	E	"3.57321890"	"5.81351269"	11	9		
"553.54179"	"2.16e+06"	C+	"4.18636440"	"6.42557692"	5	7		
"553.65828"	"8.1e+03"	E	"2.83159117"	"5.07033256"	5	5		
"553.92800"	"1.1e+05"	E	"3.64164057"	"5.87929188"	7	5		
"554.39354"	"3.4e+06"	D	"4.21758325"	"6.45335558"	3	5		
"554.65052"	"1.0e+06"	D	"4.37135106"	"6.60608750"	9	11		
"554.69902"	"9.6e+05"	E	"4.21758325"	"6.45212430"	3	3		
"554.99487"	"3.3e+04"	E	"3.69459719"	"5.92794713"	9	9		
"555.26916"	"4.5e+05"	E	"4.95563019"	"7.1878769"	7	5		
"555.35765"	"9.9e+05"	E	"4.43461275"	"6.66650376"	9	9		
"555.79822"	"1.3e+06"	E	"4.47327202"	"6.70339390"	7	9		
"556.02110"	"2.1e+06"	D	"4.43461275"	"6.66384071"	9	7		
"556.35996"	"3.4e+06"	D	"4.19086081"	"6.41873101"	5	7		
"556.73908"	"1.53e+05"	D	"2.60850194"	"4.83485507"	5	3		
"556.96178"	"2.34e+07"	B	"3.41695281"	"5.64241573"	5	3		
"557.28421"	"2.28e+07"	B	"3.39650880"	"5.62068415"	7	5		
"557.31018"	"2.07e+06"	C+	"4.19086081"	"6.41493251"	5	5		
"557.60891"	"2.5e+07"	D	"3.43018998"	"5.65307019"	3	1		
"558.47644"	"1.3e+05"	E	"3.57321890"	"5.79264615"	11	9		
"558.67553"	"2.19e+07"	B	"3.36825640"	"5.58689276"	9	7		
"559.46550"	"5.20e+06"	B	"4.54850612"	"6.76400977"	9	9		
"560.02242"	"2.69e+06"	B	"4.26045326"	"6.47375371"	3	3		
"560.27673"	"1.73e+06"	B	"4.15435379"	"6.36664959"	7	9		
"560.29448"	"1.00e+07"	B	"3.43018998"	"5.64241573"	3	3		
"561.52963"	"2.39e+05"	C	"2.58810592"	"4.79546566"	7	5		
"561.56436"	"2.64e+07"	B	"3.33201954"	"5.53924278"	11	9		
"561.86321"	"2.24e+06"	C+	"4.20888328"	"6.41493251"	5	5		
"561.95951"	"3.5e+05"	E	"4.38646275"	"6.59213395"	11	13		
"562.04927"	"5.3e+05"	E	"4.15435379"	"6.35967275"	7	7		
"562.40213"	"8.3e+05"	E	"4.38646275"	"6.59039805"	11	9		
"562.45418"	"7.41e+06"	B	"3.41695281"	"5.62068415"	5	5		
"563.39459"	"7.7e+06"	E	"4.99127081"	"7.19132379"	11	13		
"563.58220"	"5.8e+05"	E	"4.25622280"	"6.45554341"	7	5		
"563.66955"	"8.3e+04"	E	"3.63977237"	"5.83875215"	5	7		
"563.82618"	"4.4e+06"	D	"4.22036211"	"6.41873101"	9	7		
"564.14340"	"3.0e+06"	D	"4.25622280"	"6.45335558"	7	5		
"564.27504"	"3.3e+05"	E	"4.60759327"	"6.80421351"	7	5		
"564.39262"	"2.9e+05"	E	"4.07581091"	"6.27197352"	9	7		
"564.96300"	"3.6e+04"	E	"3.63434980"	"5.82829520"	13	11		
"564.99867"	"5.1e+06"	E	"5.09954435"	"7.2933513"	3	5		
"565.07052"	"3.3e+06"	E	"5.08559017"	"7.2791181"	5	7		
"565.23173"	"5.0e+05"	E	"4.26045326"	"6.45335558"	3	5		
"565.38645"	"4.6e+05"	E	"4.38646275"	"6.57876498"	11	11		
"565.51761"	"4.7e+06"	E	"5.06378173"	"7.25557550"	7	9		
"565.85313"	"5.80e+05"	B	"3.43018998"	"5.62068415"	3	5		
"565.86572"	"4.52e+06"	C+	"4.28330826"	"6.47375371"	5	3		
"565.88161"	"4.34e+06"	B	"3.39650880"	"5.58689276"	7	7		
"566.08008"	"4.4e+04"	E	"3.63977237"	"5.82938837"	5	7		
"566.13445"	"1.22e+06"	B	"4.28434800"	"6.47375371"	1	3		
"566.25159"	"6.18e+06"	B	"4.17769679"	"6.36664959"	11	9		
"566.29374"	"2.45e+05"	C+	"3.69459719"	"5.88338708"	9	9		
"566.75177"	"6.12e+05"	C	"4.17769679"	"6.36471779"	11	9		
"566.76661"	"4.8e+04"	E	"2.60850194"	"4.79546566"	5	5		
"567.90233"	"3.7e+06"	D	"4.65203107"	"6.83462125"	5	7		
