ritz_wl_air(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	g_i	g_k	Type	
"401.8100"	"2.54e+07"	C+	"2.114215"	"5.198985"	10	8		
"402.0068"	"4.9e+06"	E	"3.770575"	"6.853835"	2	4		
"402.1341"	"1.4e+06"	E	"3.771551"	"6.853835"	6	4		
"402.594"	"1.9e+06"	E	"3.763442"	"6.84220"	8	6		
"402.6433"	"8.9e+06"	E	"3.132553"	"6.210939"	12	14		
"402.8590"	"3.8e+05"	E	"3.132553"	"6.209291"	12	12		
"403.0753"	"1.7e+07"	C+	"0.000000"	"3.075087"	6	8		
"403.1789"	"7.3e+06"	E	"3.134994"	"6.209291"	10	12		
"403.3062"	"1.65e+07"	C+	"0.000000"	"3.073327"	6	6		
"403.4483"	"1.58e+07"	C+	"0.000000"	"3.072244"	6	4		
"403.8723"	"4.7e+06"	E	"3.763442"	"6.832462"	8	8		
"404.1355"	"7.87e+07"	C+	"2.114215"	"5.181235"	10	10		
"404.8743"	"7.5e+07"	C+	"2.163713"	"5.225137"	6	4		
"405.2472"	"3.8e+07"	E	"4.353703"	"7.412310"	6	8		
"405.5544"	"4.31e+07"	C+	"2.142695"	"5.198985"	8	8		
"405.8930"	"7.25e+07"	C+	"2.178214"	"5.231955"	4	2		
"405.9388"	"1.4e+07"	E	"3.073327"	"6.126723"	6	6		
"406.1730"	"1.9e+07"	E	"3.075087"	"6.126723"	8	6		
"406.3528"	"1.69e+07"	C+	"2.163713"	"5.213998"	6	6		
"406.5071"	"2.5e+07"	E	"4.246523"	"7.295651"	12	14		
"406.635"	"2.2e+07"	E	"5.087255"	"8.13542"	10	8		
"406.8012"	"1.4e+06"	E	"2.178214"	"5.225137"	4	4		
"407.0278"	"2.3e+07"	C+	"2.186728"	"5.231955"	2	2		
"407.3999"	"5.8e+06"	E	"4.320262"	"7.362707"	2	4		
"407.5251"	"6.9e+06"	E	"4.331847"	"7.373358"	10	8		
"407.9412"	"3.8e+07"	C+	"2.186728"	"5.225137"	2	4		
"408.2939"	"2.95e+07"	C+	"2.178214"	"5.213998"	4	6		
"408.3628"	"2.8e+07"	C+	"2.163713"	"5.198985"	6	8		
"408.5467"	"1.5e+06"	E	"4.794419"	"7.828325"	8	6		
"408.8558"	"4.6e+06"	E	"5.337929"	"8.369541"	14	12		
"408.9931"	"1.7e+07"	E	"4.267942"	"7.298536"	8	10		
"409.0594"	"5.8e+06"	E	"4.344576"	"7.374679"	8	6		
"409.2379"	"1.4e+07"	E	"4.344576"	"7.373358"	8	8		
"409.4045"	"7.6e+06"	E	"5.111906"	"8.139455"	8	6		
"409.6630"	"2.5e+06"	E	"4.665602"	"7.691241"	10	8		
"409.951"	"1.1e+07"	E	"5.111906"	"8.13542"	8	8		
"410.5380"	"1.7e+07"	E	"4.331847"	"7.351037"	10	8		
"410.7865"	"9.7e+06"	E	"4.605847"	"7.623211"	12	10		
"411.3867"	"1.5e+07"	E	"4.353703"	"7.366664"	6	4		
"411.4384"	"1.5e+07"	E	"4.344576"	"7.357159"	8	8		
"411.6502"	"1.2e+07"	E	"4.685354"	"7.696387"	6	6		
"411.8993"	"1.1e+06"	E	"3.382518"	"6.391730"	2	2		
"412.2361"	"1.3e+07"	E	"4.359911"	"7.366664"	4	4		
"412.2763"	"5.8e+06"	E	"4.344576"	"7.351037"	8	8		
"412.3281"	"9.0e+06"	E	"4.353703"	"7.359785"	6	6		
"412.3567"	"3.8e+06"	E	"3.372561"	"6.378435"	6	4		
"412.5815"	"7.0e+06"	E	"5.087255"	"8.091491"	10	10		
"413.2301"	"1.5e+07"	E	"5.520204"	"8.519725"	8	10		
"413.5034"	"3.0e+07"	E	"4.246523"	"7.244062"	12	12		
"413.7272"	"3.1e+06"	E	"3.382518"	"6.378435"	2	4		
"414.1056"	"2.6e+07"	E	"4.258101"	"7.251280"	10	10		
"414.7559"	"6.6e+06"	E	"3.372561"	"6.361048"	6	6		
"414.8788"	"2.3e+07"	E	"4.267942"	"7.255543"	8	8		
"415.1591"	"2.4e+06"	E	"4.665602"	"7.651186"	10	8		
"415.4224"	"3.5e+05"	E	"4.639518"	"7.623211"	12	10		
"415.5569"	"2.1e+06"	E	"3.378321"	"6.361048"	4	6		
"415.8688"	"1.6e+07"	E	"4.755015"	"7.735504"	2	2		
"416.4975"	"1.1e+07"	E	"4.755015"	"7.731005"	2	4		
"416.6185"	"2.4e+06"	E	"4.685354"	"7.660480"	6	8		
"416.7218"	"1.9e+06"	E	"4.678819"	"7.653207"	8	6		
"417.6599"	"2.4e+07"	E	"4.232682"	"7.200390"	14	12		
"418.2244"	"9.2e+06"	E	"4.712478"	"7.676180"	12	14		
"418.9983"	"2.0e+07"	E	"4.246523"	"7.204752"	12	10		
"420.1770"	"2.3e+07"	E	"4.258101"	"7.208031"	10	8		
"420.3134"	"9.5e+05"	E	"4.605847"	"7.554820"	12	12		
"420.7937"	"1.1e+06"	E	"5.111906"	"8.057512"	8	8		
"422.0609"	"1.6e+07"	E	"4.193826"	"7.130589"	6	4		
"422.182"	"2.6e+06"	E	"4.685354"	"7.62127"	6	6		
"422.4324"	"1.1e+06"	E	"4.726300"	"7.660480"	10	8		
"422.5074"	"3.4e+05"	E	"4.193826"	"7.127486"	6	6		
"423.0128"	"1.7e+06"	E	"2.953164"	"5.883318"	2	2		
"423.5295"	"9.17e+07"	C+	"2.888419"	"5.814999"	8	6		
"423.9730"	"3.9e+07"	E	"2.940846"	"5.864365"	4	2		
"425.7669"	"3.7e+07"	E	"2.953164"	"5.864365"	2	2		
"425.8355"	"2.5e+06"	E	"4.712478"	"7.623211"	12	10		
